0;1;1520701633263;1520701633263;0;0.00;1520701633263;1520701633263;0;0.00;0
1;1;1520701635917;1520701635917;0;0.00;1520701635917;1520701635917;0;0.00;1
2;1;1520701638337;1520701638337;0;0.00;1520701638337;1520701638337;0;0.00;1
3;1;1520701642297;1520701642297;0;0.00;1520701642297;1520701642297;0;0.00;2
4;1;1520701645431;1520701645431;0;0.00;1520701645431;1520701645431;0;0.00;3
5;1;1520701648611;1520701648611;0;0.00;1520701648611;1520701648611;0;0.00;5
6;1;1520701651379;1520701651379;0;0.00;1520701651379;1520701651379;0;0.00;8
7;1;1520701654296;1520701654296;0;0.00;1520701654296;1520701654296;0;0.00;13
8;1;1520701656930;1520701656930;0;0.00;1520701656930;1520701656930;0;0.00;21
9;1;1520701714679;1520701714679;0;0.00;1520701714679;1520701714679;0;0.00;34
10;1;1520701717911;1520701717911;0;0.00;1520701717911;1520701717911;0;0.00;55
11;1;1520701722574;1520701722574;0;0.00;1520701722574;1520701722574;0;0.00;89
12;1;1520701728460;1520701728460;0;0.00;1520701728460;1520701728460;0;0.00;144
13;1;1520701738685;1520701738685;0;0.00;1520701738685;1520701738685;0;0.00;233
14;1;1520701745398;1520701745398;0;0.00;1520701745398;1520701745398;0;0.00;377
15;1;1520701749222;1520701749222;0;0.00;1520701749222;1520701749222;0;0.00;610
16;1;1520701752550;1520701752550;0;0.00;1520701752550;1520701752550;0;0.00;987
17;1;1520701760976;1520701760976;0;0.00;1520701760976;1520701760976;0;0.00;1597
18;1;1520701764428;1520701764428;0;0.00;1520701764428;1520701764428;0;0.00;2584
19;1;1520701768098;1520701768098;0;0.00;1520701768098;1520701768098;0;0.00;4181
20;1;1520701770921;1520701770921;0;0.00;1520701770921;1520701770921;0;0.00;6765
21;1;1520701773381;1520701773382;1;0.00;1520701773381;1520701773382;1;0.00;10946
22;1;1520701775350;1520701775350;0;0.00;1520701775350;1520701775350;0;0.00;17711
23;1;1520701777308;1520701777308;0;0.00;1520701777308;1520701777308;0;0.00;28657
24;1;1520701779304;1520701779304;0;0.00;1520701779304;1520701779304;0;0.00;46368
25;1;1520701781146;1520701781146;0;0.00;1520701781146;1520701781146;0;0.00;75025
26;1;1520701809628;1520701809629;1;0.00;1520701809628;1520701809629;1;0.00;121393
27;1;1520701841296;1520701841298;2;0.00;1520701841296;1520701841298;2;0.00;196418
28;1;1520701845260;1520701845262;2;0.00;1520701845260;1520701845262;2;0.00;317811
29;1;1520701861269;1520701861272;3;0.00;1520701861269;1520701861272;3;0.00;514229
30;1;1520701872738;1520701872744;6;0.01;1520701872738;1520701872744;6;0.01;832040
31;1;1520701876080;1520701876090;10;0.01;1520701876080;1520701876090;10;0.01;1346269
32;1;1520701890464;1520701890482;18;0.02;1520701890464;1520701890482;18;0.02;2178309
33;1;1520701893717;1520701893746;29;0.03;1520701893717;1520701893746;29;0.03;3524578
34;1;1520701896539;1520701896584;45;0.05;1520701896539;1520701896584;45;0.05;5702887
35;1;1520701899269;1520701899342;73;0.07;1520701899269;1520701899342;73;0.07;9227465
36;1;1520701901511;1520701901620;109;0.11;1520701901511;1520701901620;109;0.11;14930352
37;1;1520701903497;1520701903672;175;0.18;1520701903497;1520701903672;175;0.18;24157817
38;1;1520701906772;1520701907052;280;0.28;1520701906772;1520701907052;280;0.28;39088169
39;1;1520701909169;1520701909621;452;0.45;1520701909169;1520701909621;452;0.45;63245986
40;1;1520701915114;1520701915843;729;0.73;1520701915114;1520701915843;729;0.73;102334155
41;1;1520701918805;1520701919973;1168;1.17;1520701918805;1520701919973;1168;1.17;165580141
42;1;1520701922579;1520701924471;1892;1.89;1520701922579;1520701924471;1892;1.89;267914296
43;1;1520701926840;1520701929895;3055;3.06;1520701926840;1520701929895;3055;3.06;433494437
44;1;1520701943023;1520701947964;4941;4.94;1520701943023;1520701947964;4941;4.94;701408733
45;1;1520701951686;1520701959675;7989;7.99;1520701951686;1520701959675;7989;7.99;1134903170
46;1;1520701963148;1520701976071;12923;12.92;1520701963148;1520701976071;12923;12.92;1836311903
47;1;1520701979708;1520702000710;21002;21.00;1520701979708;1520702000710;21002;21.00;2971215073
48;1;1520702012346;1520702046197;33851;33.85;1520702012346;1520702046197;33851;33.85;4807526976
49;1;1520702061669;1520702116657;54988;54.99;1520702061669;1520702116657;54988;54.99;7778742049
50;1;1520702134081;1520702222755;88674;88.67;1520702134081;1520702222755;88674;88.67;12586269025
